"region","count"
,100574
"Россия, Москва",37819
"Россия, Санкт-Петербург",13137
"Россия, Татарстан, Казань",6610
"Украина, Киевская область, Киев",3541
"Россия, Новосибирская область, Новосибирск",3310
"Россия, Свердловская область, Екатеринбург",3082
"Россия, Башкортостан, Уфа",3014
"Россия, Красноярский край, Красноярск",2346
"Россия, Краснодарский край, Краснодар",2186
"Россия, Ростовская область, Ростов-на-Дону",1976
"Беларусь, Минская область, Минск",1828
"Россия, Ярославская область, Ярославль",1776
"Россия, Пермский край, Пермь",1701
"Россия, Самарская область, Самара",1683
"Россия, Воронежская область, Воронеж",1600
"Россия, Челябинская область, Челябинск",1586
"Россия, Омская область, Омск",1508
"Россия, Нижегородская область, Нижний Новгород",1395
"Россия, Тюменская область, Тюмень",1321
"Россия, Волгоградская область, Волгоград",1320
"Россия, Татарстан, Набережные Челны",1234
"Россия, Тверская область, Тверь",1211
"Россия, Кемеровская область, Кемерово",1085
"Россия, Рязанская область, Рязань",1051
"Россия, Белгородская область, Белгород",1038
"Россия, Саратовская область, Саратов",1013
"Украина, Харьковская область, Харьков",991
"Россия, Томская область, Томск",972
"Россия, Алтайский край, Барнаул",932
"Казахстан, Алма-Ата",880
"Россия, Иркутская область, Иркутск",870
"Россия, Ульяновская область, Ульяновск",839
"Россия, Калининградская область, Калининград",825
"Россия, Татарстан, Альметьевск",781
"Украина, Одесская область, Одесса",762
"Россия, Брянская область, Брянск",749
"Россия, Тульская область, Тула",742
"Россия, Хабаровский край, Хабаровск",741
"Россия, Приморский край, Владивосток",728
"Россия, Кемеровская область, Новокузнецк",719
"Россия, Пензенская область, Пенза",703
"Украина, Днепропетровская область, Днепропетровск",699
"Россия, Ивановская область, Иваново",698
"Россия, Калужская область, Калуга",672
"Россия, Амурская область, Благовещенск",665
"Россия, Чувашия, Чебоксары",662
"Россия, Удмуртия, Ижевск",657
"Россия, Кировская область, Киров",624
"Россия, Карелия, Петрозаводск",623
"Россия, Крым, Симферополь",607
"Россия, Оренбургская область, Оренбург",590
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Сургут",581
"Россия, Самарская область, Тольятти",569
"Россия, Курская область, Курск",540
"_, Запорожская область, Запорожье",533
"Россия, Смоленская область, Смоленск",523
"Россия, Башкортостан, Стерлитамак",509
"Россия, Мурманская область, Мурманск",505
"Россия, Крым, Севастополь",493
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Нижневартовск",488
"Россия, Липецкая область, Липецк",477
"Россия, Ставропольский край, Ставрополь",472
"_, Донецкая область, Донецк",432
"Россия, Архангельская область, Архангельск",428
"Казахстан, Астана",419
"Россия, Астраханская область, Астрахань",419
"Россия, Владимирская область, Владимир",413
"Россия, Орловская область, Орёл",413
"Россия, Краснодарский край, Сочи",412
"Россия, Татарстан, Нижнекамск",378
"Россия, Челябинская область, Магнитогорск",373
"Россия, Новгородская область, Великий Новгород",371
"Россия, Мордовия, Саранск",370
"Россия, Тамбовская область, Тамбов",355
"Россия, Вологодская область, Вологда",350
"Беларусь, Гомельская область, Гомель",345
"Россия, Бурятия, Улан-Удэ",342
"Россия, Курганская область, Курган",339
"Украина, Николаевская область, Николаев",327
"Украина, Львовская область, Львов",326
"Россия, Ярославская область, Рыбинск",317
"Россия, Волгоградская область, Волжский",276
"Россия, Калужская область, Обнинск",272
"Россия, Свердловская область, Нижний Тагил",269
"Украина, Винницкая область, Винница",269
"Россия, Московская область, Подольск",266
"Россия, Марий Эл, Йошкар-Ола",264
"Россия, Коми, Сыктывкар",258
"Россия, Краснодарский край, Новороссийск",255
"Беларусь, Гродненская область, Гродно",251
"Украина, Днепропетровская область, Кривой Рог",248
"Россия, Псковская область, Псков",244
"Россия, Вологодская область, Череповец",243
"Россия, Сахалинская область, Южно-Сахалинск",243
"Россия, Саха /Якутия/, Якутск",243
"Украина, Сумская область, Сумы",240
"Россия, Забайкальский край, Чита",237
"Россия, Ростовская область, Таганрог",237
"Кыргызстан, Бишкек",231
"Россия, Костромская область, Кострома",228
"Россия, Архангельская область, Северодвинск",217
"Беларусь, Витебская область, Витебск",215
"Россия, Ростовская область, Шахты",212
"Россия, Московская область, Балашиха",207
"Украина, Черкасская область, Черкассы",205
"Россия, Московская область, Королёв",193
"Россия, Иркутская область, Ангарск",186
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Ханты-Мансийск",184
"Казахстан, Карагандинская область, Караганда",183
"Россия, Нижегородская область, Дзержинск",182
"_, Херсонская область, Херсон",182
"Россия, Свердловская область, Первоуральск",182
"Россия, Саратовская область, Энгельс",178
"Россия, Дагестан, Махачкала",176
"Украина, Полтавская область, Полтава",173
"Россия, Московская область, Орехово-Зуево",173
"Россия, Московская область, Люберцы",173
"Казахстан, Восточно-Казахстанская область, Усть-Каменогорск",170
"Россия, Московская область, Химки",169
