"donation_month","total_donations"
2022-01-01 00:00:00.000,1977
2022-02-01 00:00:00.000,2109
2022-03-01 00:00:00.000,3002
2022-04-01 00:00:00.000,3223
2022-05-01 00:00:00.000,2414
2022-06-01 00:00:00.000,2792
2022-07-01 00:00:00.000,2836
2022-08-01 00:00:00.000,2987
2022-09-01 00:00:00.000,3089
2022-10-01 00:00:00.000,3265
2022-11-01 00:00:00.000,3156
2022-12-01 00:00:00.000,3303
2023-01-01 00:00:00.000,2795
2023-02-01 00:00:00.000,3056
2023-03-01 00:00:00.000,3523
2023-04-01 00:00:00.000,2951
2023-05-01 00:00:00.000,2568
2023-06-01 00:00:00.000,2651
2023-07-01 00:00:00.000,2276
2023-08-01 00:00:00.000,2433
2023-09-01 00:00:00.000,2240
2023-10-01 00:00:00.000,2117
2023-11-01 00:00:00.000,1509
